Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login
18,France,Premium,80.26,Drama,5/12/2024
23,USA,Premium,321.75,Sci-Fi,2/5/2025
60,UK,Basic,35.89,Comedy,1/24/2025
44,USA,Premium,261.56,Documentary,3/25/2024
68,USA,Standard,909.3,Drama,1/14/2025
21,USA,Standard,615.93,Romance,2/3/2025
57,Canada,Standard,755.47,Romance,1/5/2025
68,USA,Standard,145.23,Sci-Fi,10/30/2024
39,UK,Basic,950.14,Action,4/16/2024
55,Mexico,Standard,696.66,Horror,7/3/2024
26,Japan,Standard,290.31,Action,9/11/2024
62,USA,Standard,490.39,Action,6/12/2024
65,Australia,Premium,712.23,Comedy,8/8/2024
35,Germany,Premium,73.63,Sci-Fi,10/2/2024
68,USA,Premium,359.3,Sci-Fi,7/25/2024
39,Australia,Premium,768.19,Comedy,10/11/2024
74,UK,Standard,610.7,Drama,7/3/2024
59,Canada,Premium,813.46,Documentary,8/8/2024
63,Brazil,Premium,963.64,Action,8/8/2024
67,Canada,Standard,460.6,Comedy,12/7/2024
47,France,Standard,637.43,Horror,1/21/2025
46,UK,Premium,620.74,Comedy,4/19/2024
40,UK,Basic,451.59,Drama,4/8/2024
46,UK,Basic,388.91,Horror,10/16/2024
37,Canada,Basic,418.2,Horror,5/26/2024
26,Brazil,Premium,95.46,Sci-Fi,8/23/2024
17,Mexico,Standard,253.6,Documentary,9/29/2024
37,France,Premium,936.05,Comedy,1/7/2025
59,Mexico,Basic,971.97,Drama,11/3/2024
67,Australia,Basic,542.57,Action,2/11/2025
14,Germany,Premium,81.89,Drama,8/6/2024
27,Canada,Standard,568.86,Sci-Fi,2/1/2025
59,UK,Standard,67.28,Sci-Fi,7/21/2024
56,Mexico,Basic,835.85,Documentary,7/11/2024
52,India,Basic,91.07,Sci-Fi,12/4/2024
26,UK,Basic,703.81,Comedy,6/6/2024
64,Germany,Basic,693.84,Documentary,6/28/2024
80,Brazil,Premium,431.61,Drama,8/8/2024
70,USA,Standard,13.5,Comedy,10/27/2024
15,Brazil,Premium,914.7,Horror,4/30/2024
23,Germany,Standard,404.84,Romance,10/29/2024
40,Canada,Premium,610.93,Romance,10/2/2024
35,Canada,Premium,834.96,Documentary,6/8/2024
68,Japan,Basic,145.66,Documentary,4/12/2024
50,USA,Basic,370.08,Action,3/30/2024
45,India,Standard,474.83,Drama,11/1/2024
16,Brazil,Premium,321.21,Documentary,4/13/2024
40,Australia,Basic,197.08,Comedy,10/19/2024
57,Australia,Premium,420.58,Sci-Fi,9/18/2024
72,Brazil,Basic,479.4,Action,7/13/2024
53,Germany,Standard,12.4,Horror,2/9/2025
55,Japan,Basic,157.64,Action,12/28/2024
65,Canada,Standard,589.28,Comedy,2/21/2025
27,France,Standard,367.56,Romance,2/27/2025
72,USA,Premium,889.42,Horror,12/11/2024
16,Mexico,Premium,739.71,Sci-Fi,8/11/2024
55,Japan,Basic,672.43,Documentary,12/1/2024
29,USA,Premium,625.92,Horror,5/2/2024
41,Japan,Premium,611.38,Drama,9/29/2024
49,Australia,Premium,997.8,Comedy,8/14/2024
70,Canada,Standard,17.03,Horror,7/11/2024
70,India,Standard,251.57,Drama,5/7/2024
68,France,Basic,247.53,Romance,2/15/2025
55,France,Basic,637.46,Action,10/28/2024
28,USA,Premium,331.5,Comedy,1/10/2025
40,France,Premium,539.51,Romance,5/15/2024
27,Canada,Premium,347.83,Romance,7/25/2024
33,Brazil,Basic,772.69,Action,1/11/2025
66,Brazil,Premium,531.37,Sci-Fi,8/22/2024
27,Germany,Standard,868.11,Action,11/11/2024
52,Canada,Basic,482.75,Action,10/3/2024
45,Germany,Basic,111.95,Comedy,10/31/2024
29,UK,Standard,915.15,Drama,2/12/2025
58,USA,Standard,255.7,Sci-Fi,12/8/2024
52,Germany,Premium,351.09,Sci-Fi,11/9/2024
